" ","Interior_Spruce","Lodgepole_Pine","Subalpine_Fir","Trembling_Aspen","Western_Larch","Douglas_Fir","Black_Cottonwood","Paper_Birch"
NA,NA,NA,NA,NA,NA,NA,NA,NA
"Init.Dens_10.0",0,0,160,0,0,0,0,0
"Init.Dens_12.0",0,0,120,0,0,0,0,0
"Init.Dens_14.0",0,0,80,0,0,0,0,0
"Init.Dens_16.0",0,0,40,0,0,0,0,0
"Init.Dens_18.0",0,0,60,0,0,0,0,0
"Init.Dens_2.0",0,0,0,0,0,0,0,0
"Init.Dens_20.0",0,0,40,0,0,0,0,0
"Init.Dens_22.0",0,0,120,0,0,0,0,0
"Init.Dens_24.0",0,0,60,0,0,0,0,0
"Init.Dens_26.0",20,0,40,0,0,0,0,0
"Init.Dens_28.0",0,0,20,0,0,0,0,0
"Init.Dens_30.0",0,0,0,0,0,0,0,0
"Init.Dens_32.0",0,0,0,0,0,0,0,0
"Init.Dens_34.0",0,0,40,0,0,0,0,0
"Init.Dens_36.0",20,0,0,0,0,0,0,0
"Init.Dens_38.0",0,0,0,0,0,0,0,0
"Init.Dens_4.0",0,0,0,0,0,0,0,0
"Init.Dens_40.0",0,0,0,0,0,0,0,0
"Init.Dens_42.0",20,0,0,0,0,0,0,0
"Init.Dens_44.0",20,0,0,0,0,0,0,0
"Init.Dens_46.0",0,0,0,0,0,0,0,0
"Init.Dens_48.0",0,0,0,0,0,0,0,0
"Init.Dens_50.0",0,0,0,0,0,0,0,0
"Init.Dens_52.0",0,0,0,0,0,0,0,0
"Init.Dens_54.0",0,0,0,0,0,0,0,0
"Init.Dens_56.0",0,0,0,0,0,0,0,0
"Init.Dens_58.0",0,0,0,0,0,0,0,0
"Init.Dens_6.0",0,0,0,0,0,0,0,0
"Init.Dens_60.0",0,0,0,0,0,0,0,0
"Init.Dens_62.0",0,0,0,0,0,0,0,0
"Init.Dens_64.0",0,0,0,0,0,0,0,0
"Init.Dens_66.0",0,0,0,0,0,0,0,0
"Init.Dens_68.0",0,0,0,0,0,0,0,0
"Init.Dens_70.0",0,0,0,0,0,0,0,0
"Init.Dens_72.0",0,0,0,0,0,0,0,0
"Init.Dens_74.0",0,0,0,0,0,0,0,0
"Init.Dens_76.0",0,0,0,0,0,0,0,0
"Init.Dens_78.0",0,0,0,0,0,0,0,0
"Init.Dens_8.0",0,0,100,0,0,0,0,0
"Init.Dens_80.0",0,0,0,0,0,0,0,0
"Init.Dens_82.0",0,0,0,0,0,0,0,0
"Init.Dens_84.0",0,0,0,0,0,0,0,0
"Init.Dens_86.0",0,0,0,0,0,0,0,0
"Init.Dens_88.0",0,0,0,0,0,0,0,0
"Timesteps",27,NA,NA,NA,NA,NA,NA,NA
